datetime,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 15:31:00,2276.68,2277.2,2276.66,2276.94,79,32,0
2025-08-20 15:32:00,2275.96,2276.14,2275.0,2275.44,209,32,0
2025-08-20 15:33:00,2275.44,2276.18,2275.4,2275.68,95,32,0
2025-08-20 15:34:00,2275.74,2275.86,2275.18,2275.68,96,32,0
2025-08-20 15:35:00,2275.68,2276.26,2275.68,2275.98,107,32,0
2025-08-20 15:36:00,2275.96,2275.98,2274.36,2274.64,84,32,0
2025-08-20 15:37:00,2274.64,2275.36,2274.46,2275.34,70,32,0
2025-08-20 15:38:00,2275.34,2275.36,2274.28,2274.84,87,32,0
2025-08-20 15:39:00,2274.84,2274.94,2274.28,2274.54,78,32,0
2025-08-20 15:40:00,2274.54,2274.74,2274.46,2274.74,71,32,0
2025-08-20 15:41:00,2274.74,2275.64,2274.68,2275.6,84,32,0
2025-08-20 15:42:00,2275.6,2276.4,2275.5,2276.2,83,32,0
2025-08-20 15:43:00,2276.24,2276.6,2276.16,2276.24,56,32,0
2025-08-20 15:44:00,2276.24,2276.34,2275.78,2275.94,52,32,0
2025-08-20 15:45:00,2275.94,2276.14,2275.58,2275.74,64,32,0
2025-08-20 15:46:00,2275.74,2275.74,2275.18,2275.54,37,32,0
2025-08-20 15:47:00,2275.54,2275.56,2274.94,2275.14,48,32,0
2025-08-20 15:48:00,2274.66,2275.24,2274.66,2275.16,49,32,0
2025-08-20 15:49:00,2275.2,2275.98,2275.18,2275.74,79,32,0
2025-08-20 15:50:00,2275.74,2275.78,2275.28,2275.44,72,32,0
2025-08-20 15:51:00,2275.44,2275.44,2275.1,2275.14,35,32,0
2025-08-20 15:52:00,2275.24,2275.44,2275.08,2275.14,46,32,0
2025-08-20 15:53:00,2275.1,2275.1,2274.7,2274.74,42,32,0
2025-08-20 15:54:00,2274.74,2274.86,2274.64,2274.64,42,32,0
2025-08-20 15:55:00,2274.56,2274.56,2274.18,2274.2,58,32,0
2025-08-20 15:56:00,2274.2,2274.86,2274.04,2274.54,36,32,0
2025-08-20 15:57:00,2274.44,2274.54,2274.18,2274.24,50,32,0
2025-08-20 15:58:00,2274.24,2274.6,2274.24,2274.54,37,32,0
2025-08-20 15:59:00,2274.54,2274.88,2274.46,2274.8,45,32,0
2025-08-20 16:00:00,2274.74,2274.94,2274.34,2274.94,52,32,0
2025-08-20 16:01:00,2274.94,2275.24,2274.76,2274.98,59,32,0
2025-08-20 16:02:00,2274.98,2275.14,2274.74,2275.06,65,32,0
2025-08-20 16:03:00,2275.06,2275.48,2274.84,2274.84,43,32,0
2025-08-20 16:04:00,2274.84,2274.94,2274.64,2274.74,39,32,0
2025-08-20 16:05:00,2274.74,2275.06,2274.64,2274.84,46,32,0
2025-08-20 16:06:00,2274.84,2275.04,2274.54,2274.74,67,32,0
2025-08-20 16:07:00,2274.7,2274.84,2274.4,2274.84,36,32,0
2025-08-20 16:08:00,2274.78,2275.56,2274.64,2274.94,71,32,0
2025-08-20 16:09:00,2274.94,2275.16,2274.68,2275.04,47,32,0
2025-08-20 16:10:00,2275.04,2275.04,2274.06,2274.14,62,32,0
2025-08-20 16:11:00,2274.1,2274.34,2273.94,2274.24,49,32,0
2025-08-20 16:12:00,2274.24,2274.76,2274.2,2274.54,40,32,0
2025-08-20 16:13:00,2274.54,2274.74,2274.48,2274.74,31,32,0
2025-08-20 16:14:00,2274.74,2274.84,2274.34,2274.4,42,32,0
2025-08-20 16:15:00,2274.38,2275.24,2274.34,2275.14,69,32,0
2025-08-20 16:16:00,2275.08,2275.36,2274.96,2275.16,37,32,0
2025-08-20 16:17:00,2275.1,2275.36,2274.9,2275.08,57,32,0
2025-08-20 16:18:00,2275.06,2275.14,2274.48,2274.78,31,32,0
2025-08-20 16:19:00,2274.84,2275.18,2274.56,2274.64,51,32,0
2025-08-20 16:20:00,2274.64,2274.64,2274.38,2274.44,66,32,0
2025-08-20 16:21:00,2274.44,2274.54,2274.14,2274.54,48,32,0
2025-08-20 16:22:00,2274.54,2274.54,2273.54,2273.84,52,32,0
2025-08-20 16:23:00,2273.84,2274.24,2273.68,2274.14,45,32,0
2025-08-20 16:24:00,2274.18,2274.74,2274.16,2274.74,55,32,0
2025-08-20 16:25:00,2274.84,2275.44,2274.54,2275.18,53,32,0
2025-08-20 16:26:00,2275.24,2276.34,2274.94,2275.84,60,32,0
2025-08-20 16:27:00,2275.84,2276.06,2275.34,2275.64,107,32,0
2025-08-20 16:28:00,2275.64,2275.74,2274.34,2274.66,111,32,0
2025-08-20 16:29:00,2274.56,2275.34,2274.14,2274.18,148,32,0
2025-08-20 16:30:00,2273.96,2274.74,2271.74,2273.34,330,32,0
2025-08-20 16:31:00,2273.34,2276.04,2272.28,2274.34,343,32,0
2025-08-20 16:32:00,2274.34,2274.64,2272.54,2272.54,331,32,0
2025-08-20 16:33:00,2272.64,2275.64,2272.64,2275.44,287,32,0
2025-08-20 16:34:00,2275.44,2278.64,2275.44,2277.34,258,32,0
2025-08-20 16:35:00,2277.24,2278.44,2276.04,2276.24,295,32,0
2025-08-20 16:36:00,2276.34,2277.84,2276.34,2277.64,303,32,0
2025-08-20 16:37:00,2277.64,2278.14,2275.24,2275.24,288,32,0
2025-08-20 16:38:00,2275.16,2275.44,2274.24,2274.34,269,32,0
2025-08-20 16:39:00,2274.34,2274.86,2272.44,2272.54,220,32,0
2025-08-20 16:40:00,2272.54,2272.64,2270.84,2270.84,266,32,0
2025-08-20 16:41:00,2270.94,2271.38,2269.36,2270.68,274,32,0
2025-08-20 16:42:00,2270.74,2274.44,2270.34,2274.44,280,32,0
2025-08-20 16:43:00,2274.38,2274.74,2271.04,2271.04,273,32,0
2025-08-20 16:44:00,2270.94,2271.74,2270.04,2270.58,292,32,0
2025-08-20 16:45:00,2270.74,2271.36,2269.54,2269.74,314,32,0
2025-08-20 16:46:00,2269.74,2270.64,2267.28,2267.28,289,32,0
2025-08-20 16:47:00,2267.54,2267.88,2266.34,2266.64,310,32,0
2025-08-20 16:48:00,2266.74,2266.98,2265.78,2265.96,297,32,0
2025-08-20 16:49:00,2265.94,2266.66,2264.24,2264.24,274,32,0
2025-08-20 16:50:00,2264.38,2264.44,2262.84,2263.34,321,32,0
2025-08-20 16:51:00,2263.24,2263.46,2260.74,2261.24,308,32,0
2025-08-20 16:52:00,2261.34,2262.16,2260.84,2261.34,325,32,0
2025-08-20 16:53:00,2261.34,2261.46,2258.34,2258.64,326,32,0
2025-08-20 16:54:00,2258.64,2258.68,2256.94,2257.14,321,32,0
2025-08-20 16:55:00,2257.16,2260.74,2256.64,2260.46,362,32,0
2025-08-20 16:56:00,2260.54,2260.54,2257.04,2259.28,343,32,0
2025-08-20 16:57:00,2259.34,2261.44,2259.24,2261.38,343,32,0
2025-08-20 16:58:00,2261.36,2261.38,2260.14,2260.36,332,32,0
2025-08-20 16:59:00,2260.36,2260.94,2258.74,2260.24,318,32,0
2025-08-20 17:00:00,2260.24,2264.74,2259.98,2264.68,349,32,0
2025-08-20 17:01:00,2264.74,2265.84,2264.68,2265.1,329,32,0
2025-08-20 17:02:00,2265.18,2267.54,2264.34,2266.8,330,32,0
2025-08-20 17:03:00,2266.78,2267.94,2266.06,2267.5,315,32,0
2025-08-20 17:04:00,2267.46,2267.74,2264.8,2264.84,333,32,0
2025-08-20 17:05:00,2264.94,2265.14,2262.7,2263.84,366,32,0
2025-08-20 17:06:00,2263.64,2264.1,2261.04,2261.04,380,32,0
2025-08-20 17:07:00,2261.06,2261.46,2259.34,2260.84,363,32,0
2025-08-20 17:08:00,2260.8,2260.8,2258.04,2258.06,348,32,0
2025-08-20 17:09:00,2258.16,2258.68,2256.56,2256.94,336,32,0
2025-08-20 17:10:00,2256.96,2258.66,2256.96,2257.64,345,32,0
2025-08-20 17:11:00,2257.74,2261.14,2257.34,2259.74,350,32,0
2025-08-20 17:12:00,2259.56,2260.76,2258.44,2259.58,323,32,0
2025-08-20 17:13:00,2259.44,2261.34,2259.04,2260.44,322,32,0
2025-08-20 17:14:00,2260.44,2260.76,2258.26,2258.26,336,32,0
2025-08-20 17:15:00,2258.18,2259.26,2257.58,2257.58,358,32,0
2025-08-20 17:16:00,2257.58,2257.76,2254.34,2254.54,298,32,0
2025-08-20 17:17:00,2254.58,2258.14,2254.34,2257.98,333,32,0
2025-08-20 17:18:00,2257.92,2258.24,2256.06,2257.74,332,32,0
2025-08-20 17:19:00,2257.74,2260.48,2257.34,2260.24,316,32,0
2025-08-20 17:20:00,2260.24,2261.18,2258.34,2260.84,317,32,0
2025-08-20 17:21:00,2260.8,2262.74,2259.76,2262.56,304,32,0
2025-08-20 17:22:00,2262.58,2262.78,2260.96,2262.46,317,32,0
2025-08-20 17:23:00,2262.44,2262.44,2260.84,2261.3,282,32,0
2025-08-20 17:24:00,2261.34,2262.68,2260.96,2261.84,300,32,0
2025-08-20 17:25:00,2261.8,2263.26,2260.84,2261.38,316,32,0
2025-08-20 17:26:00,2261.38,2261.86,2259.54,2260.04,294,32,0
2025-08-20 17:27:00,2260.04,2260.34,2258.04,2258.14,283,32,0
2025-08-20 17:28:00,2258.18,2258.44,2257.14,2257.34,253,32,0
2025-08-20 17:29:00,2257.34,2257.36,2255.46,2255.54,263,32,0
2025-08-20 17:30:00,2255.64,2257.24,2254.74,2254.94,325,32,0
2025-08-20 17:31:00,2254.84,2257.16,2254.78,2256.96,323,32,0
2025-08-20 17:32:00,2256.86,2256.96,2255.14,2255.54,297,32,0
2025-08-20 17:33:00,2255.54,2257.34,2255.34,2256.76,266,32,0
2025-08-20 17:34:00,2256.74,2258.14,2256.34,2257.86,265,32,0
2025-08-20 17:35:00,2257.76,2258.64,2256.54,2258.14,266,32,0
2025-08-20 17:36:00,2258.14,2259.36,2257.14,2257.38,263,32,0
2025-08-20 17:37:00,2257.34,2258.06,2256.74,2257.24,248,32,0
2025-08-20 17:38:00,2257.16,2260.06,2256.84,2259.34,262,32,0
2025-08-20 17:39:00,2259.34,2259.34,2257.18,2257.24,261,32,0
2025-08-20 17:40:00,2257.34,2257.66,2256.06,2256.44,267,32,0
2025-08-20 17:41:00,2256.44,2256.44,2254.74,2255.54,307,32,0
2025-08-20 17:42:00,2255.54,2255.96,2254.66,2255.14,257,32,0
2025-08-20 17:43:00,2255.14,2255.28,2253.74,2254.14,236,32,0
2025-08-20 17:44:00,2254.24,2254.94,2253.54,2253.84,228,32,0
2025-08-20 17:45:00,2253.84,2254.98,2253.64,2254.58,274,32,0
2025-08-20 17:46:00,2254.64,2255.04,2252.04,2253.08,273,32,0
2025-08-20 17:47:00,2253.14,2255.54,2252.74,2255.54,278,32,0
2025-08-20 17:48:00,2255.54,2256.18,2254.04,2255.56,272,32,0
2025-08-20 17:49:00,2255.56,2255.96,2253.94,2254.66,228,32,0
2025-08-20 17:50:00,2254.56,2256.34,2254.44,2254.44,260,32,0
2025-08-20 17:51:00,2254.44,2255.24,2253.34,2253.44,241,32,0
2025-08-20 17:52:00,2253.54,2254.28,2253.16,2253.64,269,32,0
2025-08-20 17:53:00,2253.64,2253.84,2252.54,2252.54,234,32,0
2025-08-20 17:54:00,2252.58,2253.34,2252.44,2253.24,238,32,0
2025-08-20 17:55:00,2253.24,2253.84,2251.76,2251.84,215,32,0
2025-08-20 17:56:00,2251.84,2254.46,2251.68,2253.88,253,32,0
2025-08-20 17:57:00,2253.84,2253.84,2252.56,2253.34,221,32,0
2025-08-20 17:58:00,2253.34,2254.46,2253.04,2254.44,198,32,0
2025-08-20 17:59:00,2254.36,2254.84,2253.64,2254.58,205,32,0
2025-08-20 18:00:00,2254.58,2255.84,2253.94,2255.56,264,32,0
2025-08-20 18:01:00,2255.44,2255.46,2253.24,2253.94,230,32,0
2025-08-20 18:02:00,2253.94,2254.34,2252.74,2253.04,238,32,0
2025-08-20 18:03:00,2253.04,2254.74,2252.96,2253.96,213,32,0
2025-08-20 18:04:00,2253.94,2254.08,2253.08,2253.24,205,32,0
2025-08-20 18:05:00,2253.34,2255.26,2253.34,2254.84,228,32,0
2025-08-20 18:06:00,2254.84,2257.64,2254.54,2257.38,265,32,0
2025-08-20 18:07:00,2257.3,2258.44,2257.28,2257.64,247,32,0
2025-08-20 18:08:00,2257.58,2259.38,2257.58,2259.34,241,32,0
2025-08-20 18:09:00,2259.3,2260.06,2259.04,2259.54,197,32,0
2025-08-20 18:10:00,2259.54,2259.64,2257.9,2258.28,232,32,0
2025-08-20 18:11:00,2258.26,2259.04,2258.16,2258.48,227,32,0
2025-08-20 18:12:00,2258.54,2259.04,2258.06,2258.54,189,32,0
2025-08-20 18:13:00,2258.46,2258.66,2257.64,2258.38,214,32,0
2025-08-20 18:14:00,2258.34,2259.84,2258.34,2259.44,209,32,0
2025-08-20 18:15:00,2259.44,2261.94,2259.44,2261.38,219,32,0
2025-08-20 18:16:00,2261.34,2262.14,2261.34,2261.44,201,32,0
2025-08-20 18:17:00,2261.54,2262.24,2261.44,2261.64,199,32,0
2025-08-20 18:18:00,2261.64,2262.76,2261.64,2262.44,180,32,0
2025-08-20 18:19:00,2262.44,2263.04,2261.94,2262.64,203,32,0
2025-08-20 18:20:00,2262.56,2263.74,2262.44,2263.34,200,32,0
2025-08-20 18:21:00,2263.3,2264.34,2263.04,2263.94,169,32,0
2025-08-20 18:22:00,2263.94,2264.84,2263.74,2264.66,193,32,0
2025-08-20 18:23:00,2264.64,2264.66,2263.84,2264.26,180,32,0
2025-08-20 18:24:00,2264.34,2265.36,2263.84,2265.34,173,32,0
2025-08-20 18:25:00,2265.28,2265.68,2264.44,2264.54,232,32,0
2025-08-20 18:26:00,2264.54,2266.88,2264.34,2266.64,234,32,0
2025-08-20 18:27:00,2266.74,2266.94,2265.74,2265.84,205,32,0
2025-08-20 18:28:00,2265.84,2266.24,2265.44,2265.58,189,32,0
2025-08-20 18:29:00,2265.64,2266.24,2265.44,2266.14,137,32,0
2025-08-20 18:30:00,2266.14,2266.24,2264.46,2265.08,230,32,0
2025-08-20 18:31:00,2265.14,2266.14,2264.84,2266.14,211,32,0
2025-08-20 18:32:00,2266.06,2267.14,2265.44,2266.46,222,32,0
2025-08-20 18:33:00,2266.56,2267.04,2266.26,2266.34,148,32,0
2025-08-20 18:34:00,2266.34,2267.54,2266.24,2266.84,187,32,0
2025-08-20 18:35:00,2266.74,2267.04,2265.64,2265.68,218,32,0
2025-08-20 18:36:00,2265.84,2266.16,2264.18,2264.24,190,32,0
2025-08-20 18:37:00,2264.24,2266.06,2264.24,2265.88,214,32,0
2025-08-20 18:38:00,2265.94,2266.74,2265.66,2266.34,206,32,0
2025-08-20 18:39:00,2266.34,2267.04,2265.64,2265.78,222,32,0
2025-08-20 18:40:00,2265.78,2266.38,2265.14,2265.84,217,32,0
2025-08-20 18:41:00,2265.84,2266.34,2264.84,2265.24,201,32,0
2025-08-20 18:42:00,2265.18,2267.54,2265.16,2267.24,191,32,0
2025-08-20 18:43:00,2267.24,2267.54,2266.84,2267.04,191,32,0
2025-08-20 18:44:00,2267.04,2267.14,2264.96,2265.24,215,32,0
2025-08-20 18:45:00,2265.28,2265.98,2264.94,2265.74,213,32,0
